Accession	Title	Type	Organism	Assays	Release Date	Processed Data	Raw Data	Present in Atlas	ArrayExpress URL
E-GEOD-73351	The Arabidopsis thaliana map65-3 and ugt76b1 mutant transcriptomes upon the compatible interaction with Hyaloperonospora arabidopsidis	transcription profiling by array	Arabidopsis thaliana	12	2015-09-23	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73351/E-GEOD-73351.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73351/E-GEOD-73351.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73351/
E-MTAB-3914	Transcript profiling of Arabidopsis thaliana swi3d mutant with inactivated SWI3D subunit of SWI/SNF complex	transcription profiling by array	Arabidopsis thaliana	6	2015-09-22	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3914/E-MTAB-3914.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3914/E-MTAB-3914.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3914/
E-GEOD-73146	Gene expression over the course of xylem tracheary element formation in cell suspension cultures of Arabidopsis thaliana	transcription profiling by array	Arabidopsis thaliana	27	2015-09-18	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73146/E-GEOD-73146.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-73146/E-GEOD-73146.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-73146/
E-MTAB-3011	Transcription profiling by array of etiolated Arabidopsis thaliana seedlings in response to microgravity	transcription profiling by array	Arabidopsis thaliana	12	2015-09-15	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3011/E-MTAB-3011.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3011/
E-GEOD-53957	Transcription profiling by array of Arabidopsis rosette leaves in response to aerial E-2-hexenal, one of the green leaf volatiles	transcription profiling by array	Arabidopsis thaliana	18	2015-09-08	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53957/E-GEOD-53957.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-53957/E-GEOD-53957.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-53957/
E-GEOD-71001	Transcription profiling by array of Arabidopsis roots treated with salt from bzip1, bzip53 double knockout	transcription profiling by array	Arabidopsis thaliana	24	2015-09-02	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71001/E-GEOD-71001.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71001/E-GEOD-71001.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71001/
E-MTAB-3253	Expression data for Arabidopsis pah1 pah2 mutant plants	transcription profiling by array	Arabidopsis thaliana	4	2015-09-01	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3253/E-MTAB-3253.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3253/
E-GEOD-71764	Expression data from Arabidopsis during de-etiolation	transcription profiling by array	Arabidopsis thaliana	24	2015-08-06	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71764/E-GEOD-71764.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71764/E-GEOD-71764.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71764/
E-GEOD-66419	Transcription profiling by array of the tinkerbell (tink) mutation of Arabidopsis	transcription profiling by array	Arabidopsis thaliana	6	2015-07-30	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66419/E-GEOD-66419.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-66419/E-GEOD-66419.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-66419/
E-GEOD-71312	Expression data from WT Col-0 and the pdx1.3 ko mutant of Arabidopsis	transcription profiling by array	Arabidopsis thaliana	12	2015-07-25	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71312/E-GEOD-71312.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-71312/E-GEOD-71312.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-71312/
E-GEOD-68439	Osmotic stress induces phosphorylation of histone H3 at threonine 3 in pericentromeric regions of Arabidopsis thaliana [expression]	transcription profiling by array	Arabidopsis thaliana	6	2015-07-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68439/E-GEOD-68439.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-68439/E-GEOD-68439.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-68439/
E-GEOD-70843	Genome-wide expression analysis of bri1-5 and its suppressors brs1-1D, bak1-1D, bri1-1D	transcription profiling by array	Arabidopsis thaliana	15	2015-07-14	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70843/E-GEOD-70843.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-70843/E-GEOD-70843.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-70843/
E-MTAB-3045	Transcription profiling by array of first leaf pair of amiPPD mutant and wild type Arabidopsis plants	transcription profiling by array	Arabidopsis thaliana	6	2015-07-07	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3045/E-MTAB-3045.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3045/
E-MTAB-3416	Transcriptional profiles of Arabidopsis stomataless mutants	transcription profiling by array	Arabidopsis thaliana	9	2015-07-02	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3416/E-MTAB-3416.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-3416/E-MTAB-3416.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-3416/
E-MTAB-2518	A whole-genome microarray study of Arabidopsis thaliana cell cultures exposed to microgravity for 5 days on board of Shenzhou 8	transcription profiling by array	Arabidopsis thaliana	6	2015-06-29	Data is not available	https://www.ebi.ac.uk/arrayexpress/files/E-MTAB-2518/E-MTAB-2518.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-2518/
E-GEOD-61059	Transcription profiling by array of Arabidopsis seedlings treated with salycilic acid at ZT24 (subjective morning) or ZT36 (evening)	transcription profiling by array	Arabidopsis thaliana	24	2015-06-22	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61059/E-GEOD-61059.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-61059/E-GEOD-61059.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-61059/
E-GEOD-69828	Expression data of Arabidopsis seedlings in response to ARR1 or cytokinins, in the presence and absence of DELLA proteins	transcription profiling by array	Arabidopsis thaliana	16	2015-06-13	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69828/E-GEOD-69828.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-69828/E-GEOD-69828.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-69828/
E-GEOD-38102	Expression data from Oryza sativa and Arabidopsis thaliana	transcription profiling by array	Arabidopsis thaliana, Oryza sativa	16	2015-06-10	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-38102/E-GEOD-38102.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-38102/E-GEOD-38102.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-38102/
E-GEOD-65840	Root transcriptome of ninja-1	transcription profiling by array	Arabidopsis thaliana	6	2015-05-28	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65840/E-GEOD-65840.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-65840/E-GEOD-65840.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-65840/
E-GEOD-63128	Gene expression of Arabidopsis leaves under heat stress and during recovery	transcription profiling by array	Arabidopsis thaliana	27	2015-05-27	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63128/E-GEOD-63128.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-63128/E-GEOD-63128.raw.1.zip		https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-63128/
E-GEOD-50952	Transcription profiling by array of Arabidopsis roots from spy-3 mutant to understand how SPY regulates root cortex proliferation	transcription profiling by array	Arabidopsis thaliana	6	2015-05-16	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50952/E-GEOD-50952.processed.1.zip	https://www.ebi.ac.uk/arrayexpress/files/E-GEOD-50952/E-GEOD-50952.raw.1.zip	Yes	https://www.ebi.ac.uk/arrayexpress/experiments/E-GEOD-50952/
